warm,autism1,gmo1,ftblack,ftwhite,fthisp,ftasian,ftmuslim
1,-1,-1,59,60,59,53,9
1,2,2,48,50,50,49,50
2,-1,-1,52,48,53,45,48
1,2,2,89,99,73,74,91
1,2,2,75,51,64,73,51
1,-1,-1,97,95,95,94,98
1,-1,-1,50,50,48,54,34
1,2,2,80,35,80,31,59
2,-1,-1,4,2,99,12,3
1,-1,-1,95,90,95,95,90
2,-1,-1,59,62,60,63,7
1,2,1,50,50,50,50,50
1,2,2,87,86,87,88,88
1,-1,-1,78,77,81,76,0
1,2,2,70,78,70,71,74
1,-1,-1,100,71,100,100,100
1,2,2,38,100,9,60,0
1,-1,-1,70,59,61,69,61
1,-1,-1,60,70,60,70,60
1,-1,-1,88,91,96,92,89
1,2,1,75,59,86,72,53
2,1,2,95,99,3,98,4
1,2,2,89,91,91,89,50
2,-1,-1,50,69,34,37,14
1,-1,-1,88,91,84,86,5
1,-1,-1,50,50,50,51,50
1,1,2,69,72,69,72,29
2,2,2,7,93,6,71,3
1,2,1,50,50,50,50,50
1,-1,-1,70,70,70,70,51
1,2,1,95,75,70,85,85
2,-1,-1,55,55,77,65,46
1,2,2,100,100,95,99,92
2,2,1,51,84,54,51,40
1,-1,-1,51,50,50,50,51
1,2,2,63,62,54,57,51
1,2,1,51,50,23,34,39
2,-1,-1,69,76,65,66,37
2,-1,-1,100,100,100,100,21
1,2,2,30,73,29,46,13
1,-1,-1,50,97,66,54,42
1,2,1,74,74,74,74,74
2,1,2,50,50,50,50,50
2,2,2,83,87,0,9,0
1,2,1,86,85,91,88,88
1,-1,-1,63,44,70,54,57
1,2,2,89,80,91,90,88
2,-1,-1,33,39,44,41,46
1,1,2,89,83,46,79,31
1,-1,-1,72,73,67,75,65
1,2,1,51,51,51,51,30
2,-1,-1,97,97,99,95,3
2,-1,-1,98,98,95,98,5
1,-1,-1,72,47,64,67,55
1,-1,-1,70,70,70,70,70
1,2,1,56,66,61,49,50
1,2,1,80,80,88,81,52
1,-1,-1,49,49,47,50,46
1,-1,-1,85,100,56,-7,28
1,2,2,100,70,100,100,100
1,2,1,41,100,50,80,50
1,2,2,100,75,97,94,82
1,2,2,91,86,81,89,90
1,-1,-1,56,75,77,86,100
1,-1,-1,70,70,70,70,60
2,2,1,44,76,68,56,0
1,2,2,73,40,87,73,16
1,2,1,50,51,50,50,47
2,-1,-1,72,72,72,72,2
1,-1,-1,69,90,59,60,59
2,2,2,50,50,69,50,50
1,-1,-1,64,70,68,72,42
2,2,1,98,100,100,99,45
1,1,2,82,91,93,99,86
2,2,1,91,97,88,79,19
2,2,2,90,91,91,91,42
1,-1,-1,97,97,98,99,99
2,-1,-1,39,58,58,47,31
1,2,1,50,50,50,50,5
1,-1,-1,50,50,50,51,30
1,2,2,56,60,50,52,59
1,2,2,100,100,99,99,93
1,-1,-1,83,84,88,83,81
1,-1,-1,100,100,100,100,0
1,2,1,66,99,100,100,97
1,-1,-1,51,97,32,62,9
1,-1,-1,55,71,61,60,56
1,2,2,58,52,50,60,71
1,2,2,100,93,100,83,42
2,-1,-1,50,50,50,50,0
2,2,2,89,90,80,89,0
1,-1,-1,98,69,87,91,92
1,1,1,22,9,23,28,19
1,2,2,98,85,90,100,80
1,-1,-1,52,51,50,50,51
1,2,1,100,99,99,100,100
1,1,2,100,50,99,100,90
1,-1,-1,50,50,99,50,51
2,1,2,85,85,85,50,50
1,-1,-1,50,50,50,50,50
2,2,2,53,54,51,53,55
2,1,2,100,100,100,100,66
2,2,1,86,84,85,94,17
1,-1,-1,77,74,67,84,65
1,2,1,50,50,50,50,50
1,-1,-1,50,50,52,50,50
2,2,1,97,95,95,97,4
2,-1,-1,44,56,42,44,49
1,-1,-1,50,50,50,50,50
1,2,1,88,79,89,90,79
1,-1,-1,100,51,100,99,99
1,-1,-1,78,70,78,79,1
1,2,2,69,70,69,69,50
1,2,1,60,35,61,60,61
1,-1,-1,52,88,50,50,42
1,-1,-1,75,65,86,64,60
2,2,2,97,98,85,96,0
1,2,1,100,94,100,100,100
1,1,2,60,75,71,67,1
1,2,2,99,99,100,100,100
1,2,1,50,50,50,50,46
1,-1,-1,-7,-7,-7,-7,-7
1,1,1,45,50,40,50,20
1,2,2,89,77,99,88,88
2,-1,-1,52,94,51,50,20
1,2,1,100,62,99,89,50
2,-1,-1,19,11,29,24,20
1,-1,-1,100,100,99,99,99
1,2,2,85,80,95,87,76
2,-1,-1,51,53,31,1,12
1,2,1,78,34,49,63,37
1,-1,-1,85,91,85,85,23
1,-1,-1,75,75,76,76,75
2,1,2,100,91,50,81,30
1,2,1,53,52,51,59,51
1,2,2,89,82,80,83,82
1,-1,-1,50,92,41,20,21
1,-1,-1,100,99,99,100,100
1,2,1,78,77,77,76,77
2,-1,-1,2,99,1,96,0
1,-1,-1,22,100,70,91,61
2,2,2,4,100,29,99,3
1,2,1,42,55,48,63,78
2,-1,-1,79,80,80,81,50
1,-1,-1,59,60,60,60,30
1,2,1,75,75,90,90,50
1,2,1,50,50,50,50,45
1,-1,-1,96,75,96,95,96
2,-1,-1,52,52,50,50,8
2,2,2,41,47,41,44,41
1,-1,-1,1,60,1,1,1
2,1,2,68,77,45,69,41
1,-1,-1,69,69,69,69,69
1,-1,-1,81,51,86,91,77
1,1,2,53,60,52,54,16
2,-1,-1,59,51,58,58,22
